age,gender,region_category,membership_category,joining_date,joined_through_referral,preferred_offer_types,medium_of_operation,internet_option,last_visit_time,days_since_last_login,avg_time_spent,avg_transaction_value,avg_frequency_login_days,points_in_wallet,used_special_discount,offer_application_preference,past_complaint,complaint_status,feedback,churn_risk_score,nps_score,tx_count_30d,avg_tx_amount,failed_tx,support_tickets
62,F,City,No Membership,2016-10-13,No,Without Offers,Both,Fiber_Optic,07:55:41,344,304.52,47658.52,29.0,699.19,No,Yes,Yes,Solved,Too many ads,1,7,72,50.3,29,7
55,M,City,Platinum Membership,2015-04-14,Yes,Credit/Debit Card Offers,Both,Mobile_Data,22:44:04,207,1316.52,2367.56,25.0,441.8365499,Yes,No,No,Not Applicable,No reason specified,0,4,63,144.94,15,5
30,F,?,No Membership,2017-11-13,?,Credit/Debit Card Offers,Desktop,Wi-Fi,08:37:37,202,264.54,40756.7,26.0,628.31,Yes,No,No,Not Applicable,Too many ads,1,5,12,624.68,23,0
30,M,City,Silver Membership,2017-06-03,No,Credit/Debit Card Offers,Smartphone,Fiber_Optic,02:48:44,207,191.41,25575.44,15.98,648.68,No,Yes,Yes,Solved in Follow-up,Poor Customer Service,1,5,39,552.2,28,6
51,M,Town,Premium Membership,2015-12-10,Yes,Without Offers,Desktop,Wi-Fi,10:11:22,56,135.09,48819.9,8.0,686.88,Yes,No,Yes,Solved in Follow-up,Poor Customer Service,0,0,42,295.4,9,2
29,M,Village,Silver Membership,2017-11-07,Yes,Gift Vouchers/Coupons,Smartphone,Fiber_Optic,05:44:02,122,123.37,13032.52,6.0,686.88,Yes,No,No,Not Applicable,No reason specified,1,5,87,296.71,19,7
16,M,City,Silver Membership,2017-11-06,?,Gift Vouchers/Coupons,Desktop,Fiber_Optic,06:48:52,115,355.31,20457.22,5.0,1233.769727,Yes,Yes,Yes,Solved in Follow-up,Poor Product Quality,0,6,90,958.91,47,8
25,F,Village,Gold Membership,2017-05-18,Yes,Without Offers,Smartphone,Mobile_Data,15:00:18,297,31.88,35414.54,20.0,788.67,No,Yes,No,Not Applicable,No reason specified,0,9,50,955.31,22,4
62,F,City,Basic Membership,2017-07-06,No,Credit/Debit Card Offers,Smartphone,Wi-Fi,10:16:47,284,125.0,38802.24,28.0,686.88,No,Yes,Yes,Unsolved,No reason specified,1,0,27,779.65,34,0
24,F,Town,Premium Membership,2017-08-29,Yes,Without Offers,Desktop,Fiber_Optic,20:42:49,222,181.34,43554.96,1.0,728.69,Yes,No,Yes,Solved in Follow-up,Products always in Stock,0,6,99,443.06,18,6
48,M,City,No Membership,2015-03-27,Yes,?,Desktop,Mobile_Data,18:59:30,202,960.62,13954.02,17.0,631.15,No,Yes,Yes,Solved,Poor Customer Service,1,1,7,916.05,44,5
56,M,Village,Basic Membership,2017-08-22,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,18:27:08,158,48.59,28071.04,16.0,533.05,No,Yes,Yes,Solved,Poor Website,1,7,3,824.94,16,2
17,M,?,Basic Membership,2016-12-28,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,13:52:30,250,30.12,15027.14,12.0,686.88,No,Yes,No,Not Applicable,No reason specified,1,3,93,742.79,42,5
23,F,Town,Gold Membership,2016-08-04,Yes,Without Offers,Desktop,Wi-Fi,10:53:56,117,727.69,4919.72,13.0,758.83,Yes,Yes,No,Not Applicable,Too many ads,0,8,29,796.88,42,1
42,F,City,No Membership,2016-06-23,No,Gift Vouchers/Coupons,Both,Fiber_Optic,12:35:00,186,419.51,14661.42,15.98,404.4897584,No,Yes,Yes,Solved in Follow-up,No reason specified,1,2,42,213.96,26,1
59,M,Village,Gold Membership,2015-09-01,Yes,Without Offers,Both,Mobile_Data,00:41:03,310,899.04,49614.88,23.0,758.69,Yes,No,No,Not Applicable,Poor Website,0,7,56,112.93,24,8
18,M,Town,Basic Membership,2015-12-22,No,Credit/Debit Card Offers,Desktop,Mobile_Data,05:19:35,183,293.42,2521.3,15.98,964.8409708,Yes,No,Yes,No Information Available,Poor Customer Service,1,8,26,583.92,40,3
23,M,City,Gold Membership,2015-06-21,Yes,Credit/Debit Card Offers,Desktop,Wi-Fi,07:05:14,189,934.3542198,11955.94,24.0,630.8,No,Yes,Yes,Unsolved,Poor Customer Service,1,6,67,992.77,4,4
52,F,City,Basic Membership,2017-11-13,Yes,Credit/Debit Card Offers,Smartphone,Mobile_Data,20:27:36,52,826.51,14877.24,25.0,522.61,Yes,No,No,Not Applicable,Poor Customer Service,1,2,64,287.55,41,3
49,F,Town,Premium Membership,2016-09-02,Yes,Gift Vouchers/Coupons,Desktop,Mobile_Data,16:09:53,40,115.41,41156.81,27.0,741.02,No,Yes,No,Not Applicable,Poor Customer Service,0,3,48,377.84,19,1
30,M,?,Premium Membership,2017-05-14,No,Gift Vouchers/Coupons,?,Wi-Fi,01:07:51,71,481.45,4207.45,28.0,776.36,Yes,Yes,No,Not Applicable,Poor Customer Service,0,9,65,411.4,4,3
31,F,Town,Basic Membership,2016-08-18,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,10:40:33,310,148.95,2364.45,15.98,634.51,No,Yes,No,Not Applicable,Too many ads,1,1,87,535.13,5,9
27,M,City,Silver Membership,2016-10-23,No,Credit/Debit Card Offers,Smartphone,Mobile_Data,19:13:01,255,357.45,29825.45,9.0,665.63,No,Yes,Yes,Solved,Poor Website,1,0,81,288.15,13,2
56,M,City,Gold Membership,2016-04-24,No,Without Offers,Desktop,Fiber_Optic,02:55:41,97,1386.232857,9454.17,19.0,778.27,Yes,No,No,Not Applicable,Too many ads,0,8,6,789.26,12,2
11,M,?,Silver Membership,2016-08-24,No,Credit/Debit Card Offers,Desktop,Fiber_Optic,10:45:18,147,96.14,11995.93,19.0,207.169769,Yes,No,No,Not Applicable,Poor Customer Service,1,7,99,855.21,27,9
31,F,Town,Silver Membership,2017-04-13,No,Credit/Debit Card Offers,Both,Wi-Fi,18:41:44,275,428.05,6325.08,28.0,80.09369313,No,Yes,No,Not Applicable,Poor Product Quality,1,6,23,313.32,18,4
29,M,Town,Premium Membership,2016-05-07,No,Gift Vouchers/Coupons,Desktop,Wi-Fi,10:59:38,147,42.48,16098.94,21.0,766.85,Yes,No,Yes,Solved,Poor Website,0,9,43,696.65,32,9
31,F,City,Silver Membership,2016-04-20,Yes,Without Offers,Smartphone,Wi-Fi,10:24:44,237,33.91,23226.43,7.0,762.48,No,Yes,Yes,Solved,Poor Customer Service,0,2,39,139.78,37,1
11,F,Town,Basic Membership,2015-03-10,No,Gift Vouchers/Coupons,Desktop,Mobile_Data,12:23:20,271,1060.527979,10990.31,16.0,271.7143813,Yes,No,No,Not Applicable,Poor Product Quality,1,1,3,688.05,13,5
14,M,Town,Basic Membership,2017-07-19,No,Credit/Debit Card Offers,Desktop,Mobile_Data,15:34:53,110,1156.431904,32302.27,24.0,520.33,No,Yes,No,Not Applicable,Poor Customer Service,1,3,6,831.6,27,5
26,M,City,Silver Membership,2017-11-14,Yes,Gift Vouchers/Coupons,Smartphone,Mobile_Data,09:43:15,117,187.91,17002.23,11.0,700.11,No,Yes,No,Not Applicable,Too many ads,0,1,44,980.38,8,2
62,M,?,Premium Membership,2016-01-09,No,Credit/Debit Card Offers,Desktop,Mobile_Data,04:35:00,190,284.09,48305.86,15.98,730.05,No,Yes,No,Not Applicable,Poor Website,0,8,11,830.73,21,0
51,M,Village,Platinum Membership,2017-09-22,No,Without Offers,Desktop,Fiber_Optic,16:51:53,100,-494.0838771,40667.27,19.0,809.83,Yes,No,No,Not Applicable,Reasonable Price,0,9,47,404.69,40,8
43,F,Village,Silver Membership,2016-12-12,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,20:43:54,2,-771.4156089,16186.76,8.0,633.22,Yes,No,No,Not Applicable,Poor Customer Service,1,4,65,206.85,7,3
23,M,Town,Gold Membership,2016-03-17,?,Gift Vouchers/Coupons,Desktop,Fiber_Optic,12:10:42,198,109.76,46102.66,8.0,783.03,Yes,No,No,Not Applicable,Poor Product Quality,0,5,90,205.26,15,4
57,M,Town,Gold Membership,2015-08-30,Yes,Gift Vouchers/Coupons,Desktop,Wi-Fi,12:52:22,5,56.63,10171.97,23.0,757.61,Yes,No,Yes,Solved in Follow-up,No reason specified,0,9,68,988.9,0,5
17,M,?,Gold Membership,2015-11-12,Yes,Gift Vouchers/Coupons,Smartphone,Wi-Fi,22:48:57,304,81.15,46109.6,17.0,270.467656,Yes,No,No,Not Applicable,No reason specified,1,0,40,174.22,6,7
42,M,City,Platinum Membership,2015-06-08,Yes,Credit/Debit Card Offers,Smartphone,Wi-Fi,16:48:16,268,1195.732666,31504.62,10.0,1207.253729,Yes,No,No,Not Applicable,Poor Customer Service,0,8,19,37.39,30,3
21,F,City,Silver Membership,2016-03-11,No,Credit/Debit Card Offers,?,Mobile_Data,08:26:10,222,99.95,22865.42,21.0,686.88,No,Yes,No,Not Applicable,No reason specified,0,7,71,349.13,29,8
46,M,Village,No Membership,2017-03-16,Yes,Credit/Debit Card Offers,Smartphone,Fiber_Optic,21:40:49,194,287.39,44809.68,27.0,629.6,No,Yes,No,Not Applicable,Poor Product Quality,1,5,54,998.26,15,7
